REPORTE DE VENTAS POR ARTICULO
Empresa demostracion S. de R.L.;;Emitido por el sistema

FECHAEMISION;COD_ARTICULO;DESCRIPCION;CANT;PRECIO_UNIT;COSTO_UNIT;CLIENTE
23/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-05
23/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-06
24/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-07
24/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
24/12/2025;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-09
24/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-10
25/12/2025;P-001;Producto rentable;6;L 180.00;L 95.00;C-11
25/12/2025;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-12
25/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-13
25/12/2025;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-14
26/12/2025;P-001;Producto rentable;8;L 180.00;L 95.00;C-15
26/12/2025;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-16
26/12/2025;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-17
26/12/2025;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-18
27/12/2025;P-001;Producto rentable;3;L 180.00;L 95.00;C-01
27/12/2025;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
27/12/2025;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-03
27/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-04
27/12/2025;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-05
28/12/2025;P-001;Producto rentable;2;L 180.00;L 95.00;C-06
28/12/2025;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-07
28/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-08
28/12/2025;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-09
29/12/2025;P-001;Producto rentable;4;L 180.00;L 95.00;C-10
29/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-11
29/12/2025;P-004;Producto por agotarse;5;L 160.00;L 105.00;C-12
29/12/2025;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-13
30/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-14
30/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-15
30/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-16
30/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-17
31/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-18
31/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-01
31/12/2025;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-02
31/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-03
01/01/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-04
01/01/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-05
01/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-06
01/01/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-07
01/01/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-08
02/01/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-09
02/01/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-10
02/01/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-11
02/01/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-12
03/01/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-13
03/01/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-14
03/01/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-15
03/01/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-16
04/01/2026;P-001;Producto rentable;2;L 180.00;L 95.00;C-17
04/01/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-18
04/01/2026;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-01
04/01/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-02
05/01/2026;P-001;Producto rentable;11;L 180.00;L 95.00;C-03
05/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-04
05/01/2026;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-05
05/01/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-06
06/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-07
06/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-08
06/01/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-09
06/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-10
07/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-11
07/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-12
07/01/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-13
07/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-14
08/01/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-15
08/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
08/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-17
08/01/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-18
09/01/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-01
09/01/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
09/01/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-03
09/01/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-04
09/01/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-05
10/01/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-06
10/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-07
10/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-08
10/01/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-09
11/01/2026;P-001;Producto rentable;2;L 180.00;L 95.00;C-10
11/01/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-11
11/01/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-12
11/01/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-13
12/01/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-14
12/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-15
12/01/2026;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-16
12/01/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-17
13/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-18
13/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-01
13/01/2026;P-004;Producto por agotarse;17;L 160.00;L 105.00;C-02
13/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-03
14/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-04
14/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-05
14/01/2026;P-004;Producto por agotarse;18;L 160.00;L 105.00;C-06
14/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-07
15/01/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-08
15/01/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-09
15/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-10
15/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-11
15/01/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-12
16/01/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-13
16/01/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-14
16/01/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-15
16/01/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-16
17/01/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-17
17/01/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-18
17/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-01
17/01/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-02
18/01/2026;P-001;Producto rentable;2;L 180.00;L 95.00;C-03
18/01/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-04
18/01/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-05
18/01/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-06
19/01/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-07
19/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-08
19/01/2026;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-09
19/01/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-10
20/01/2026;P-001;Producto rentable;12;L 180.00;L 95.00;C-11
20/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
20/01/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-13
20/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-14
21/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-15
21/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
21/01/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-17
21/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-18
22/01/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-01
22/01/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
22/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-03
22/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-04
22/01/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-05
23/01/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-06
23/01/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-07
23/01/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-08
23/01/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-09
24/01/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-10
24/01/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-11
24/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-12
24/01/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-13
25/01/2026;P-001;Producto rentable;2;L 180.00;L 95.00;C-14
25/01/2026;P-003;Producto con margen bajo;6;L 105.00;L 100.00;C-15
25/01/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-16
25/01/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-17
26/01/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-18
26/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-01
26/01/2026;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-02
26/01/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-03
27/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-04
27/01/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-05
27/01/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-06
27/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-07
28/01/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-08
28/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-09
28/01/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-10
28/01/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-11
29/01/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-12
29/01/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-13
29/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-14
29/01/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-15
30/01/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-16
30/01/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-17
30/01/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-18
30/01/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-01
31/01/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-02
31/01/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-03
31/01/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-04
31/01/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-05
01/02/2026;P-001;Producto rentable;2;L 180.00;L 95.00;C-06
01/02/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-07
01/02/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-08
01/02/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-09
01/02/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-10
02/02/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-11
02/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
02/02/2026;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-13
02/02/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-14
03/02/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-15
03/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-16
03/02/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-17
03/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-18
04/02/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-01
04/02/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
04/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-03
04/02/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-04
04/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-05
05/02/2026;P-001;Producto rentable;13;L 180.00;L 95.00;C-06
05/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-07
05/02/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-08
05/02/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-09
06/02/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-10
06/02/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-11
06/02/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-12
06/02/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-13
07/02/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-14
07/02/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-15
07/02/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-16
07/02/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-17
08/02/2026;P-001;Producto rentable;2;L 180.00;L 95.00;C-18
08/02/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-01
08/02/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-02
08/02/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-03
09/02/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-04
09/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-05
09/02/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-06
09/02/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-07
10/02/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-08
10/02/2026;P-003;Producto con margen bajo;10;L 105.00;L 100.00;C-09
10/02/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-10
10/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-11
11/02/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-12
11/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-13
11/02/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-14
11/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-15
12/02/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-16
12/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-17
12/02/2026;P-004;Producto por agotarse;20;L 160.00;L 105.00;C-18
12/02/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-01
13/02/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-02
13/02/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-03
13/02/2026;P-004;Producto por agotarse;22;L 160.00;L 105.00;C-04
13/02/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-05
14/02/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-06
14/02/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-07
14/02/2026;P-004;Producto por agotarse;20;L 160.00;L 105.00;C-08
14/02/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-09
15/02/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-10
15/02/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-11
15/02/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-12
15/02/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-13
15/02/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-14
16/02/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-15
16/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-16
16/02/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-17
16/02/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-18
17/02/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-01
17/02/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
17/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-03
17/02/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-04
17/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-05
18/02/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-06
18/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-07
18/02/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-08
18/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-09
19/02/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-10
19/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-11
19/02/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-12
19/02/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-13
20/02/2026;P-001;Producto rentable;16;L 180.00;L 95.00;C-14
20/02/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-15
20/02/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-16
20/02/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-17
21/02/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-18
21/02/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-01
21/02/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-02
21/02/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-03
22/02/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-04
22/02/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-05
22/02/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-06
22/02/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-07
23/02/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-08
23/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-09
23/02/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-10
23/02/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-11
24/02/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-12
24/02/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-13
24/02/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-14
24/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-15
25/02/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-16
25/02/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-17
25/02/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-18
25/02/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-01
26/02/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-02
26/02/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-03
